2025-12-06 19:20:59 resuming from checkpoint
2025-12-06 19:21:09 /home/sd6701/test/vicreg/main_vicreg.py:305: FutureWarning: `torch.cuda.amp.GradScaler(args...)` is deprecated. Please use `torch.amp.GradScaler('cuda', args...)` instead.
2025-12-06 19:21:09   scaler = torch.cuda.amp.GradScaler()
2025-12-06 19:21:22 /home/sd6701/test/vicreg/main_vicreg.py:326: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
2025-12-06 19:21:22   with torch.cuda.amp.autocast():
2025-12-06 19:25:25 {"epoch": 149, "step": 100339, "loss": 16.12846565246582, "time": 256, "lr": 0.8846725065234744}
2025-12-06 19:25:30 {"epoch": 149, "step": 100345, "loss": 16.027305603027344, "time": 261, "lr": 0.8846526067687938}
2025-12-06 19:25:36 {"epoch": 149, "step": 100349, "loss": 16.11717987060547, "time": 267, "lr": 0.8846393394364481}
2025-12-06 19:25:41 {"epoch": 149, "step": 100355, "loss": 16.079044342041016, "time": 272, "lr": 0.8846194371941494}
2025-12-06 19:25:47 {"epoch": 149, "step": 100359, "loss": 16.20937156677246, "time": 278, "lr": 0.8846061682034635}
2025-12-06 19:25:52 {"epoch": 149, "step": 100366, "loss": 16.109619140625, "time": 283, "lr": 0.8845829458737204}
2025-12-06 19:25:58 {"epoch": 149, "step": 100369, "loss": 16.03972625732422, "time": 289, "lr": 0.8845729928248781}
2025-12-06 19:26:03 {"epoch": 149, "step": 100375, "loss": 16.098217010498047, "time": 294, "lr": 0.8845530856079876}
2025-12-06 19:26:09 {"epoch": 149, "step": 100379, "loss": 16.281494140625, "time": 300, "lr": 0.8845398133010504}
2025-12-06 19:26:14 {"epoch": 149, "step": 100385, "loss": 16.233783721923828, "time": 305, "lr": 0.8845199035971864}
2025-12-06 19:26:20 {"epoch": 149, "step": 100389, "loss": 16.108835220336914, "time": 311, "lr": 0.8845066296323383}
2025-12-06 19:26:26 {"epoch": 149, "step": 100396, "loss": 16.077167510986328, "time": 317, "lr": 0.8844833985982253}
2025-12-06 19:26:31 {"epoch": 149, "step": 100399, "loss": 16.042156219482422, "time": 322, "lr": 0.8844734418190999}
2025-12-06 19:26:36 {"epoch": 149, "step": 100405, "loss": 16.112892150878906, "time": 327, "lr": 0.8844535271419331}
2025-12-06 19:26:42 {"epoch": 149, "step": 100409, "loss": 16.21942138671875, "time": 333, "lr": 0.8844402498616933}
2025-12-06 19:26:47 {"epoch": 149, "step": 100415, "loss": 16.186542510986328, "time": 338, "lr": 0.8844203326981979}
2025-12-06 19:26:53 {"epoch": 149, "step": 100419, "loss": 16.029529571533203, "time": 344, "lr": 0.8844070537604771}
2025-12-06 19:26:58 {"epoch": 149, "step": 100424, "loss": 15.995681762695312, "time": 349, "lr": 0.8843904541560522}
2025-12-06 19:27:05 {"epoch": 149, "step": 100429, "loss": 16.332963943481445, "time": 355, "lr": 0.8843738535158093}
2025-12-06 19:27:10 {"epoch": 149, "step": 100435, "loss": 16.056901931762695, "time": 361, "lr": 0.8843539313803009}
2025-12-06 19:27:16 {"epoch": 149, "step": 100439, "loss": 16.24778938293457, "time": 366, "lr": 0.8843406491280483}
2025-12-06 19:27:21 {"epoch": 149, "step": 100445, "loss": 16.22197151184082, "time": 372, "lr": 0.8843207245068561}
2025-12-06 19:27:26 {"epoch": 149, "step": 100449, "loss": 16.306732177734375, "time": 377, "lr": 0.8843074405975525}
2025-12-06 19:27:32 {"epoch": 149, "step": 100455, "loss": 16.24654769897461, "time": 383, "lr": 0.8842875134908914}
2025-12-06 19:27:37 {"epoch": 149, "step": 100459, "loss": 16.165966033935547, "time": 388, "lr": 0.8842742279246802}
